Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Paris Saint-Germain,38,24,11,3,83,36,+47,83
2,Olympique Lyonnais,38,22,9,7,72,33,+39,75
3,AS Monaco,38,20,11,7,51,26,+25,71
4,Olympique de Marseille,38,21,6,11,76,42,+34,69
5,AS Saint-Étienne,38,19,12,7,51,30,+21,69
6,FC Girondins de Bordeaux,38,17,12,9,47,44,+3,63
7,Montpellier HSC,38,16,8,14,46,39,+7,56
8,LOSC Lille,38,16,8,14,43,42,+1,56
9,Stade Rennais FC,38,13,11,14,35,42,-7,50
10,En Avant de Guingamp,38,15,4,19,41,55,-14,49
11,OGC Nice,38,13,9,16,44,53,-9,48
12,Sporting Club de Bastia,38,12,11,15,37,46,-9,47
13,Stade Malherbe Caen,38,12,10,16,54,55,-1,46
14,FC Nantes,38,11,12,15,29,40,-11,45
15,Stade de Reims,38,12,8,18,47,66,-19,44
16,FC Lorient,38,12,7,19,44,50,-6,43
17,Toulouse Football Club,38,12,6,20,43,64,-21,42
18,Évian Thonon Gaillard FC,38,11,4,23,41,62,-21,37
19,FC Metz,38,7,9,22,31,61,-30,30
20,Racing Club de Lens,38,7,8,23,32,61,-29,29
